invoice_id,status
INV000001,MATCHED
INV000002,MATCHED
INV000003,MATCHED
INV000004,MATCHED
INV000005,MATCHED
INV000007,MATCHED
INV000008,MATCHED
INV000009,MATCHED
INV000010,MATCHED
INV000011,MATCHED
INV000012,MATCHED
INV000013,MATCHED
INV000014,MATCHED
INV000015,MATCHED
INV000016,MATCHED
INV000017,MATCHED
INV000018,MATCHED
INV000019,MATCHED
INV000020,MATCHED
INV000021,MATCHED
INV000022,MATCHED
INV000023,MATCHED
INV000024,MATCHED
INV000025,MATCHED
INV000026,MATCHED
INV000027,MATCHED
INV000028,MATCHED
INV000029,MATCHED
INV000031,MATCHED
INV000032,MATCHED
INV000033,MATCHED
INV000034,MATCHED
INV000035,MATCHED
INV000036,MATCHED
INV000037,MATCHED
INV000038,MATCHED
INV000039,MATCHED
INV000040,MATCHED
INV000042,MATCHED
INV000043,MATCHED
INV000044,MATCHED
INV000045,MATCHED
INV000046,MATCHED
INV000047,MATCHED
INV000048,MATCHED
INV000049,MATCHED
INV000050,MATCHED
INV000051,MATCHED
INV000053,MATCHED
INV000054,MATCHED
INV000055,MATCHED
INV000056,MATCHED
INV000057,MATCHED
INV000058,MATCHED
INV000059,MATCHED
INV000060,MATCHED
INV000061,MATCHED
INV000062,MATCHED
INV000063,MATCHED
INV000064,MATCHED
INV000065,MATCHED
INV000066,MATCHED
INV000067,MATCHED
INV000068,MATCHED
INV000069,MATCHED
INV000070,MATCHED
INV000071,MATCHED
INV000072,MATCHED
INV000073,MATCHED
INV000074,MATCHED
INV000075,MATCHED
INV000076,MATCHED
INV000077,MATCHED
INV000079,MATCHED
INV000080,MATCHED
INV000081,MATCHED
INV000082,MATCHED
INV000083,MATCHED
INV000084,MATCHED
INV000085,MATCHED
INV000086,MATCHED
INV000087,MATCHED
INV000088,MATCHED
INV000089,MATCHED
INV000090,MATCHED
INV000091,MATCHED
INV000092,MATCHED
INV000093,MATCHED
INV000094,MATCHED
INV000095,MATCHED
INV000097,MATCHED
INV000098,MATCHED
INV000099,MATCHED
INV000100,MATCHED
INV000101,MATCHED
INV000102,MATCHED
INV000103,MATCHED
INV000104,MATCHED
INV000105,MATCHED
INV000106,MATCHED
INV000107,MATCHED
INV000108,MATCHED
INV000109,MATCHED
INV000110,MATCHED
INV000111,MATCHED
INV000112,MATCHED
INV000113,MATCHED
INV000114,MATCHED
INV000115,MATCHED
INV000116,MATCHED
INV000117,MATCHED
INV000118,MATCHED
INV000119,MATCHED
INV000120,MATCHED
INV000121,MATCHED
INV000122,MATCHED
INV000123,MATCHED
INV000124,MATCHED
INV000125,MATCHED
INV000127,MATCHED
INV000128,MATCHED
INV000129,MATCHED
INV000130,MATCHED
INV000131,MATCHED
INV000132,MATCHED
INV000133,MATCHED
INV000134,MATCHED
INV000135,MATCHED
INV000136,MATCHED
INV000137,MATCHED
INV000138,MATCHED
INV000139,MATCHED
