invoice_id,status
INV000006,MISMATCHED
INV000030,MISMATCHED
INV000041,MISMATCHED
INV000052,MISMATCHED
INV000078,MISMATCHED
INV000096,MISMATCHED
INV000126,MISMATCHED
INV000148,MISMATCHED
INV000204,MISMATCHED
INV000265,MISMATCHED
INV000272,MISMATCHED
INV000315,MISMATCHED
INV000350,MISMATCHED
INV000531,MISMATCHED
INV000539,MISMATCHED
INV000586,MISMATCHED
INV000684,MISMATCHED
INV000686,MISMATCHED
INV000778,MISMATCHED
INV000842,MISMATCHED
INV000906,MISMATCHED
INV000924,MISMATCHED
INV000934,MISMATCHED
INV000955,MISMATCHED
INV000956,MISMATCHED
INV000967,MISMATCHED
INV000986,MISMATCHED
